(+)-Bornane-2,5-dione	CC1(C2CC(=O)C1(CC2=O)C)C
4-(L-gamma-Glutamylamino)butanoate	C(CC(=O)[O-])CNC(=O)CCC(C(=O)[O-])[NH3+]
4-Amino-2-methyl-5-(phosphooxymethyl)pyrimidine	CC1=NC=C(C(=N1)N)COP(=O)([O-])[O-]
4-Amino-4-deoxychorismate	C=C(C(=O)[O-])OC1C=C(C=CC1[NH3+])C(=O)[O-]
4-Amino-5-hydroxymethyl-2-methylpyrimidine	CC1=NC=C(C(=N1)N)CO
4-Aminobenzoate; p-ABA	
4-Aminobutanoate	C(CC(=O)O)CN
4-Cytidine_5-diphospho-2-C-methyl-D-erythritol	
4-Fumarylacetoacetate	C(C(=O)CC(=O)O)C(=O)C=CC(=O)O
4-Glutathionyl cyclophosphamide	C1COP(=O)(NC1SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)N(CCCl)CCCl
4-Guanidinobutanamide	C(CC(=O)N)CN=C(N)N
4-Guanidinobutanoate	C(CC(=O)O)CN=C(N)N
4-Hydroxy-2-oxo-heptanedioate	C(CC(=O)O)C(CC(=O)C(=O)O)O
4-Hydroxy-L-threonine	C(C(C(C(=O)O)N)O)O
4-Hydroxyphenylacetaldehyde	C1=CC(=CC=C1CC=O)O
4-Hydroxyphenylethanol	C1=CC(=CC=C1CCO)O
4-Methyl-2-oxopentanoate	CC(C)CC(=O)C(=O)O
4-Methylthio-2-oxobutanoic acid	CSCCC(=O)C(=O)O
4a-Hydroxytetrahydrobiopterin	CC(C(C1CN=C2C(N1)(C(=O)NC(=N2)N)O)O)O
5'-Deoxyadenosine	CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O
5'-Methylthioadenosine	CSCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O
5(S)-HETE	CCCCCC=CCC=CCC=CC=CC(CCCC(=O)O)O
5(S)-HPETE	CCCCCC=CCC=CCC=CC=CC(CCCC(=O)O)OO
5,10-Methenyltetrahydrofolate	C1C2CN(C=[N+]2C3=C(N1)N=C(NC3=O)N)C4=CC=C(C=C4)C(=O)NC(CCC(=O)O)C(=O)O
5,10-Methylenetetrahydrofolate	C1C2CN(CN2C3=C(N1)N=C(NC3=O)N)C4=CC=C(C=C4)C(=O)NC(CCC(=O)O)C(=O)O
5,6,7,8-Tetrahydrofolate	C1C(NC2=C(N1)N=C(NC2=O)N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)[O-])C(=O)[O-]
5,6-Dihydro-5-fluorouracil	C1C(C(=O)NC(=O)N1)F
5,6-Dihydrouracil	C1CNC(=O)NC1=O
5-(2-Hydroxyethyl)-4-methylthiazole	CC1=C(SC=N1)CCO
5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide	C1=NC(=C(N1C2C(C(C(O2)COP(=O)(O)O)O)O)NC=NC3C(C(C(O3)COP(=O)(O)O)O)O)C(=O)N
5-Amino-6-(1-D-ribitylamino)uracil	C(C(C(C(CO)O)O)O)NC1=C(C(=O)NC(=O)N1)N
5-Amino-6-(5'-phospho-D-ribitylamino)uracil	C(C(C(C(COP(=O)(O)O)O)O)O)NC1=C(C(=O)NC(=O)N1)N
5-Amino-6-(5'-phosphoribosylamino)uracil	C(C1C(C(C(O1)NC2=C(C(=O)NC(=O)N2)N)O)O)OP(=O)(O)O
5-Aminoimidazole ribonucleotide	C1=C(N(C=N1)C2C(C(C(O2)COP(=O)(O)O)O)O)N
5-Aminolevulinate	C(CC(=O)O)C(=O)CN
5-Deoxystrigol	CC1=CC(OC1=O)OC=C2C3CC4=C(C3OC2=O)C(CCC4)(C)C
5-Enolpyruvyl-shikimate-3-phosphate	
5-FU	C1=C(C(=O)NC(=O)N1)F
