accession/condition,NCBI accessions
Dra-2,CRR624276;CRR624276;CRR624276
Edi-0,"SRR1046855;SRR1046855;SRR1180004;SRR1180005;SRR1180006;SRR1180007;SRR1180008;SRR1180009;SRR3460540;SRR3460541;SRR3460542;SRR3460543;SRR3460544;SRR3460545;SRR3460546;SRR11993611;SRR11993631;SRR11993647;SRR11993667;SRR11993683;SRR11993703;SRR1046855;SRR1180004;SRR1180005;SRR1180006;SRR1180007;SRR1180008;SRR1180009;SRR3460540;SRR3460541;SRR3460542;SRR3460543;SRR3460544;SRR3460545;SRR3460546;SRR11993611;SRR11993631;SRR11993647;SRR11993667;SRR11993683;SRR11993703;SRR1046855;SRR1180004;SRR1180005;SRR1180006;SRR1180007;SRR1180008;SRR1180009;SRR3460540;SRR3460541;SRR3460542;SRR3460543;SRR3460544;SRR3460545;SRR3460546;SRR11993611;SRR11993631;SRR11993647;SRR11993667;SRR11993683;SRR11993703;SRR1046855, SRR1180004, SRR1180005, SRR1180006, SRR1180007, SRR1180008, SRR1180009, SRR3460540, SRR3460541, SRR3460542, SRR3460543, SRR3460544, SRR3460545, SRR3460546, SRR11993611, SRR11993631, SRR11993647, SRR11993667, SRR11993683, SRR11993703"
Elk-1,CRR624281;CRR624281;CRR624281
Eri-1,SRR26784028;SRR26784028;SRR26784028;SRR26784028;SRR26784028
Est-1,"SRR26269990;SRR26269990;SRR26269989;SRR26269988;SRR26269987;SRR7764328;SRR7764139;SRR7764268;SRR7764165;SRR7764116;SRR7764101;SRR7764106;SRR7764079;SRR7764278;SRR7764339;SRR7764053;SRR7764057;SRR7764301;SRR7764242;SRR7764018;SRR7764121;SRR26269990;SRR26269989;SRR26269988;SRR26269987;SRR7764328;SRR7764139;SRR7764268;SRR7764165;SRR7764116;SRR7764101;SRR7764106;SRR7764079;SRR7764278;SRR7764339;SRR7764053;SRR7764057;SRR7764301;SRR7764242;SRR7764018;SRR7764121;SRR26269990;SRR26269989;SRR26269988;SRR26269987;SRR7764328;SRR7764139;SRR7764268;SRR7764165;SRR7764116;SRR7764101;SRR7764106;SRR7764079;SRR7764278;SRR7764339;SRR7764053;SRR7764057;SRR7764301;SRR7764242;SRR7764018;SRR7764121;SRR26269990, SRR26269989, SRR26269988, SRR26269987, SRR7764328, SRR7764139, SRR7764268, SRR7764165, SRR7764116, SRR7764101, SRR7764106, SRR7764079, SRR7764278, SRR7764339, SRR7764053, SRR7764057, SRR7764301, SRR7764242, SRR7764018, SRR7764121"
Etna-2,"SRR748635;SRR748635;SRR3463452;SRR3463453;SRR3463454;SRR3463455;SRR3463456;SRR3463457;SRR3463458;SRR3463459;SRR3463460;SRR3463461;SRR3463462;SRR3463463;SRR3463464;SRR3463465;SRR3463466;SRR3463467;SRR3463468;SRR748635, SRR3463452, SRR3463453, SRR3463454, SRR3463455, SRR3463456, SRR3463457, SRR3463458, SRR3463459, SRR3463460, SRR3463461, SRR3463462, SRR3463463, SRR3463464, SRR3463465, SRR3463466, SRR3463467, SRR3463468"
Ey15-2,"SRR23878509;SRR23878509;SRR23878430;SRR23878664;SRR23878539;SRR23878509, SRR23878430, SRR23878664, SRR23878539"
Ge-0,"SRR3461248;SRR3461248;SRR3461249;SRR3461250;SRR3461251;SRR3461252;SRR3461253;SRR11993612;SRR11993632;SRR11993648;SRR11993668;SRR11993684;SRR11993704;SRR3461248, SRR3461249, SRR3461250, SRR3461251, SRR3461252, SRR3461253, SRR11993612, SRR11993632, SRR11993648, SRR11993668, SRR11993684, SRR11993704"
Geg-14,"SRR3461701;SRR3461701;SRR3461702;SRR3461703;SRR3461704;SRR3461705;SRR3461706;SRR3461707;SRR3461708;SRR3461709;SRR3461710;SRR3461711;SRR3461712;SRR3461713;SRR3461714;SRR3461715;SRR3461716;SRR3461717;SRR3461718;SRR3461719;SRR3461720;SRR3461701, SRR3461702, SRR3461703, SRR3461704, SRR3461705, SRR3461706, SRR3461707, SRR3461708, SRR3461709, SRR3461710, SRR3461711, SRR3461712, SRR3461713, SRR3461714, SRR3461715, SRR3461716, SRR3461717, SRR3461718, SRR3461719, SRR3461720"
Gel-1,"SRR748639;SRR748639;SRR23878758;SRR23878699;SRR23878413;SRR23878640;SRR748639;SRR23878758;SRR23878699;SRR23878413;SRR23878640;SRR748639;SRR23878758;SRR23878699;SRR23878413;SRR23878640;SRR748639, SRR23878758, SRR23878699, SRR23878413, SRR23878640;SRR748639;SRR23878758;SRR23878699;SRR23878413;SRR23878640"
