(2R,3S)-3-Isopropylmalate	CC(C)C(C(C(=O)[O-])O)C(=O)[O-]
Demethylphylloquinol	CC(C)CCCC(C)CCCC(C)CCCC(=CCC1=C(C2=CC=CC=C2C(=C1)O)O)C
Deoxycytidine	C1C(C(OC1N2C=CC(=NC2=O)N)CO)O
Deoxyribose	C1C(C(OC1O)CO)O
Deoxyuridine	C1C(C(OC1N2C=CC(=O)NC2=O)CO)O
Dephospho-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O)C(C(=O)NCCC(=O)NCCS)O
Dethiobiotin	CC1C(NC(=O)N1)CCCCCC(=O)O
Dihydrobiopterin	CC(C(C1=NC2=C(NC1)N=C(NC2=O)N)O)O
Dihydrofolate	C1C(=NC2=C(N1)N=C(NC2=O)N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
Dihydrogeranylgeranyl diphosphate	CC(CCCC(=CCOP(=O)(O)OP(=O)(O)O)C)CCC=C(C)CCC=C(C)C
Dihydrolipoamide	C(CCC(=O)N)CC(CCS)S
Dihydroneopterin phosphate	C1C(=NC2=C(N1)N=C(NC2=O)N)C(C(COP(=O)(O)O)O)O
Dihydropteroate	C1C(=NC2=C(N1)N=C(NC2=O)N)CNC3=CC=C(C=C3)C(=O)O
Dithiothreitol	C(C(C(CS)O)O)S
Dodecanoic acid	CCCCCCCCCCCC(=O)O
Epoxypheophorbide a	CCC1=C2C=C3C(=C4C(=O)C(C(=C4N3)C5=NC(=CC6=NC7(C(O7)C(=C1C)N2)C(=C6C)C=C)C(C5CCC(=O)O)C)C(=O)OC)C
Estradiol-17beta	CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O
Estrone	CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)O
Ethanolamine	C(CO)N
Ethanolamine phosphate	C(COP(=O)(O)O)N
Fatty acid	
Fe2+	[Fe+2]
Fe3+	[Fe+3]
Fecosterol	CC(C)C(=C)CCC(C)C1CCC2C1(CCC3=C2CCC4C3(CCC(C4)O)C)C
Folinic acid	C1C(N(C2=C(N1)N=C(NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
Formyl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC=O)O
Formyl-L-methionyl peptide	
GDP-4-dehydro-6-deoxy-D-mannose	CC1C(=O)C(C(C(O1)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=NC4=C3N=C(NC4=O)N)O)O)O)O
GDP-L-fucose	CC1C(C(C(C(O1)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=NC4=C3N=C(NC4=O)N)O)O)O)O)O
GDP-L-galactose	C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OC4C(C(C(C(O4)CO)O)O)O)O)O)N=C(NC2=O)N
GDP-mannose	C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OC4C(C(C(C(O4)CO)O)O)O)O)O)N=C(NC2=O)N
GMP	C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)O)O)O)N=C(NC2=O)N
Gla protein	
Gla protein precursor	
Glutaminyl-tRNA	
Glutaredoxin	
Glutaredoxin disulfide	
Glutaryl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CCCC(=O)O)O
Glutathione episulfonium ion	C1C[S+]1CC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N
Glycerol	C(C(CO)O)O
Glycerophosphodiester	
Glycolaldehyde	C(C=O)O
Glycyl-tRNA(Gly)	
Glyoxylate	C(=O)C(=O)O
Guanine	C1=NC2=C(N1)C(=O)NC(=N2)N
Guanosine	C1=NC2=C(N1C3C(C(C(O3)CO)O)O)N=C(NC2=O)N
Guanosine 3'-diphosphate 5'-triphosphate	C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)OP(=O)(O)OP(=O)(O)O)O)N=C(NC2=O)N
Heme	CC1=C(C2=CC3=C(C(=C([N-]3)C=C4C(=C(C(=N4)C=C5C(=C(C(=N5)C=C1[N-]2)C)C=C)C)C=C)C)CCC(=O)O)CCC(=O)O.[Fe+2]
Heme O	CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C=C)C)C(CCC=C(C)CCC=C(C)CCC=C(C)C)O)C)C(=C3CCC(=O)O)C)CCC(=O)O.[Fe+2]
Hexadecanal	CCCCCCCCCCCCCCCC=O
Hexadecenoyl-[acyl-carrier protein]	
Histamine	C1=C(NC=N1)CCN
Holo-[carboxylase]	
Homogentisate	C1=CC(=C(C=C1O)CC(=O)O)O
Hordenine	CN(C)CCC1=CC=C(C=C1)O
Hydrobromic acid	Br
Hydrochloric acid	Cl
Hydrogen cyanide	C#N
Hydroxyacetone	CC(=O)CO
Hydroxypyruvate	C(C(=O)C(=O)O)O
Hypoxanthine	C1=NC2=C(N1)C(=O)NC=N2
Imidazole-4-acetaldehyde	C1=C(NC=N1)CC=O
Imidazole-4-acetate	C1=C(NC=N1)CC(=O)O
Iminoerythrose 4-phosphate	C(C(C(C=N)O)O)OP(=O)(O)O
Indole-3-acetaldehyde	C1=CC=C2C(=C1)C(=CN2)CC=O
Indole-3-acetate	C1=CC=C2C(=C1)C(=CN2)CC(=O)[O-]
Inosine	C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)CO)O)O
Inositol 1-phosphate	C1(C(C(C(C(C1O)O)OP(=O)(O)O)O)O)O
Isochorismate	C=C(C(=O)[O-])OC1C=CC=C(C1O)C(=O)[O-]
Isoprene	CC(=C)C=C
Kanamycin B	C1C(C(C(C(C1N)OC2C(C(C(C(O2)CO)O)N)O)O)OC3C(C(C(C(O3)CN)O)O)N)N
L-Alanyl-D-glutamate	CC(C(=O)NC(CCC(=O)O)C(=O)O)N
L-Alanyl-L-glutamate	CC(C(=O)NC(CCC(=O)O)C(=O)O)N
L-Alanyl-tRNA	
L-Amino acid	
L-Arginyl-tRNA(Arg)	
L-Asparaginyl-tRNA(Asn)	
L-Aspartyl-tRNA(Asp)	
L-Cysteate	C(C(C(=O)[O-])N)S(=O)(=O)O
L-Cysteinyl-tRNA(Cys)	
L-Cystine	C(C(C(=O)O)N)SSCC(C(=O)O)N
L-Dopachrome	C1C(NC2=CC(=O)C(=O)C=C21)C(=O)O
L-Fucose	CC1C(C(C(C(O1)O)O)O)O
L-Fucose 1-phosphate	CC1C(C(C(C(O1)OP(=O)(O)O)O)O)O
L-Galactose	C(C(C(C(C(C=O)O)O)O)O)O
L-Glutamyl-tRNA(Gln)	
L-Glyceraldehyde	C(C(C=O)O)O
L-Histidyl-tRNA(His)	
L-Isoleucyl-tRNA(Ile)	
L-Leucyl-tRNA	
L-Lysyl-tRNA	
L-Methionine (S)-S-oxide	CS(=O)CCC(C(=O)O)N
L-Methionyl-tRNA	
L-Phenylalanyl-tRNA(Phe)	
L-Prolyl-tRNA(Pro)	
L-Selenocystathionine	C(C[Se]CC(C(=O)O)N)C(C(=O)O)N
L-Selenomethionine	C[Se]CCC(C(=O)O)N
L-Seryl-tRNA(Ser)	
L-Threonyl-tRNA(Thr)	
L-Tryptophanyl-tRNA(Trp)	
L-Tyrosyl-tRNA(Tyr)	
L-Valyl-tRNA(Val)	
L-erythro-4-Hydroxyglutamate	C(C(C(=O)O)N)C(C(=O)O)O
Lathosterol	CC(C)CCCC(C)C1CCC2C1(CCC3C2=CCC4C3(CCC(C4)O)C)C
Lipoamide	C1CSSC1CCCCC(=O)N
Methaneselenol	C[SeH]
Methionyl peptide	
Methyl beta-D-galactoside	COC1C(C(C(C(O1)CO)O)O)O
Methyl-2-alpha-L-fucopyranosyl-beta-D-galactoside	CC1C(C(C(C(O1)OC2C(C(C(OC2OC)CO)O)O)O)O)O
Methylglyoxal	CC(=O)C=O
Methylmalonate	CC(C(=O)O)C(=O)O
Methyloxaloacetate	CC(C(=O)C(=O)O)C(=O)O
Methylselenic acid	C[Se](=O)O
N(omega)-Hydroxyarginine	C(CC(C(=O)O)N)CN=C(N)NO
N(pi)-Methyl-L-histidine	CN1C=NC=C1CC(C(=O)O)N
N,N-Dimethylaniline	CN(C)C1=CC=CC=C1
N,N-Dimethylaniline N-oxide	C[N+](C)(C1=CC=CC=C1)[O-]
N-Acetyl-D-glucosamine 6-phosphate	CC(=O)NC1C(C(C(OC1O)COP(=O)(O)O)O)O
N-Acetyl-alpha-D-glucosamine 1-phosphate	CC(=O)NC1C(C(C(OC1OP(=O)(O)O)CO)O)O
N-Acetylserotonin	CC(=O)NCCC1=CNC2=C1C=C(C=C2)O
N-Benzoylanthranilate	C1=CC=C(C=C1)C(=O)NC2=CC=CC=C2C(=O)[O-]
N-Methyltyramine	CNCCC1=CC=C(C=C1)O
N1,N5,N10-Tri(hydroxyferuloyl) spermidine	COC1=CC(=CC(=C1O)O)C=CC(=O)NCCCCN(CCCNC(=O)C=CC2=CC(=C(C(=C2)OC)O)O)C(=O)C=CC3=CC(=C(C(=C3)OC)O)O
N1,N5-Di(hydroxyferuloyl)-N10-sinapoyl spermidine	COC1=CC(=CC(=C1O)O)C=CC(=O)NCCCN(CCCCNC(=O)C=CC2=CC(=C(C(=C2)OC)O)OC)C(=O)C=CC3=CC(=C(C(=C3)OC)O)O
N4-Acetylaminobutanal	CC(=O)NCCCC=O
N6'-Acetylkanamycin-B	CC(=O)NCC1C(C(C(C(O1)OC2C(CC(C(C2O)OC3C(C(C(C(O3)CO)O)N)O)N)N)N)O)O
N6-Prenyladenosine 5'-diphosphate	CC(=CCNC1=C2C(=NC=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O)C
N6-Prenyladenosine 5'-phosphate	CC(=CCNC1=C2C(=NC=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)C
NMNH	C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)O)O)O
Nicotinamide	C1=CC(=CN=C1)C(=O)N
Nicotinamide D-ribonucleotide	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)[O-])O)O)C(=O)N
Nicotinamide-beta-riboside	C1=CC(=C[N+](=C1)C2C(C(C(O2)CO)O)O)C(=O)N
Nicotinate	C1=CC(=CN=C1)C(=O)[O-]
Nicotinate D-ribonucleoside	
Nitric oxide	[N]=O
O-Acetyl-ADP-ribose	CC(=O)OC1C(C(OC1O)COP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=NC4=C(N=CN=C43)N)O)O)O
O-Phospho-4-hydroxy-L-threonine	C(C(C(C(=O)O)N)O)OP(=O)(O)O
O-Phospho-D-serine	C(C(C(=O)O)N)OP(=O)(O)O
O-Succinyl-L-homoserine	C(COC(=O)CCC(=O)O)C(C(=O)O)N
O-beta-D-Glucopyranosyl-cis-zeatin	CC(=CCNC1=NC=NC2=C1NC=N2)COC3C(C(C(C(O3)CO)O)O)O
O-beta-D-Glucosylzeatin	CC(=CCNC1=NC=NC2=C1NC=N2)COC3C(C(C(C(O3)CO)O)O)O
Orotate	C1=C(NC(=O)NC1=O)C(=O)[O-]
Orotidine 5'-phosphate	C1=C(N(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)O)O)O)C(=O)O
Oxalyl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C(=O)O)O
Oxidized dithiothreitol	
Palmitoylglycerone phosphate	CCCCCCCCCCCCCCCC(=O)OCC(=O)COP(=O)(O)O
Pantetheine 4'-phosphate	CC(C)(COP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O
Pantothenate	CC(C)(CO)C(C(=O)NCCC(=O)[O-])O
Peptidylproline (omega=0)	
Peptidylproline (omega=180)	
Perillic acid	CC(=C)C1CCC(=CC1)C(=O)O
Perillyl aldehyde	CC(=C)C1CCC(=CC1)C=O
Phenethylamine	C1=CC=C(C=C1)CCN
Phenol	C1=CC=C(C=C1)O
Phenylacetaldehyde	C1=CC=C(C=C1)CC=O
Phenylethyl alcohol	C1=CC=C(C=C1)CCO
Pheophorbide a	CCC1=C(C2=NC1=CC3=C(C4=C(C(C(=C5C(C(C(=CC6=NC(=C2)C(=C6C)C=C)N5)C)CCC(=O)O)C4=N3)C(=O)OC)O)C)C
Phloretin	C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O)O)O
Phlorizin	C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2OC3C(C(C(C(O3)CO)O)O)O)O)O)O
Phoenicoxanthin	CC1=C(C(CCC1=O)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(C(=O)C(CC2(C)C)O)C)C)C
Phosphatidate	
Phosphatidylcholine	
Phosphatidylethanolamine	CC(=O)OCC(COP(=O)(O)OCCN)OC(=O)C
Phosphatidylserine	CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(C(=O)O)N)OC(=O)CCCCCCCCCCCCCCCCC
Phylloquinol	CC1=C(C2=CC=CC=C2C(=C1CC=C(C)CCCC(C)CCCC(C)CCCC(C)C)O)O
Phylloquinone	CC1=C(C(=O)C2=CC=CC=C2C1=O)CC=C(C)CCCC(C)CCCC(C)CCCC(C)C
Pigments	
Pimeloyl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CCCCCC(=O)O)O
Precorrin 2	CC1(C(C2=CC3=NC(=CC4=C(C(=C(N4)CC5=C(C(=C(N5)C=C1N2)CC(=O)O)CCC(=O)O)CCC(=O)O)CC(=O)O)C(C3(C)CC(=O)O)CCC(=O)O)CCC(=O)O)CC(=O)O
Propynoate	C#CC(=O)[O-]
Prostaglandin E2	CCCCCC(C=CC1C(CC(=O)C1CC=CCCCC(=O)O)O)O
Prostaglandin H2	CCCCCC(C=CC1C2CC(C1CC=CCCCC(=O)O)OO2)O
Protein N6-(lipoyl)lysine	
Proteins	
Pseudouridine	C1=C(C(=O)NC(=O)N1)C2C(C(C(O2)CO)O)O
Pseudouridine 5'-phosphate	C1=C(C(=O)NC(=O)N1)C2C(C(C(O2)COP(=O)(O)O)O)O
Putrescine	C(CCN)CN
Pyridoxal	CC1=NC=C(C(=C1O)C=O)CO
Pyridoxal phosphate	CC1=NC=C(C(=C1O)C=O)COP(=O)(O)O
Pyridoxamine phosphate	CC1=NC=C(C(=C1O)CN)COP(=O)(O)O
Pyridoxine	CC1=NC=C(C(=C1O)CO)CO
Pyridoxine phosphate	CC1=NC=C(C(=C1O)CO)COP(=O)(O)O
ROH	
ROOH	
Raffinose	C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3(C(C(C(O3)CO)O)O)CO)O)O)O)O)O)O)O
Red chlorophyll catabolite	CCC1=C(NC(=C1C)C=O)CC2=C(C3=C(N2)C(=C4C(C(C(=N4)C=C5C(=C(C(=O)N5)C=C)C)C)CCC(=O)O)C(C3=O)C(=O)OC)C
Reduced FMN	CC1=CC2=C(C=C1C)N(C3=C(N2)C(=O)NC(=O)N3)CC(C(C(COP(=O)(O)O)O)O)O
Reduced acceptor	
S-(1,2-Dichlorovinyl)glutathione	C(CC(=O)NC(CSC(=CCl)Cl)C(=O)NCC(=O)O)C(C(=O)O)N
S-(2,2-Dichloro-1-hydroxy)ethyl glutathione	C(CC(=O)NC(CSC(C(Cl)Cl)O)C(=O)NCC(=O)O)C(C(=O)O)N
S-(2-Chloroacetyl)glutathione	C(CC(=O)NC(CSC(=O)CCl)C(=O)NCC(=O)O)C(C(=O)O)N
S-(Formylmethyl)glutathione	C(CC(=O)NC(CSCC=O)C(=O)NCC(=O)O)C(C(=O)O)N
S-Adenosyl-4-methylthio-2-oxobutanoate	C[S+](CCC(=O)C(=O)O)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O
S-Methyl-5-thio-D-ribose 1-phosphate	CSCC1C(C(C(O1)OP(=O)(O)O)O)O
S-Methyl-5-thio-D-ribulose 1-phosphate	CSCC(C(C(=O)COP(=O)(O)O)O)O
S-Sulfanylglutathione	C(CC(=O)NC(CSS)C(=O)NCC(=O)O)C(C(=O)O)N
S-Sulfinatoglutathione	C(CC(=O)NC(CSS(=O)[O-])C(=O)NCC(=O)[O-])C(C(=O)[O-])[NH3+]
S-Sulfo-L-cysteine	C(C(C(=O)O)N)SS(=O)(=O)O
Salicin	C1=CC=C(C(=C1)CO)OC2C(C(C(C(O2)CO)O)O)O
Salicyl alcohol	C1=CC=C(C(=C1)CO)O
Scopoletin	COC1=C(C=C2C(=C1)C=CC(=O)O2)O
Scopolin	COC1=C(C=C2C(=C1)C=CC(=O)O2)OC3C(C(C(C(O3)CO)O)O)O
Se-Methyl-L-selenocysteine	C[Se]CC(C(=O)O)N
Secondary metabolites and precursors prod. in chloroplast	
Selenate	[O-][Se](=O)(=O)[O-]
Selenohomocysteine	
Serotonin	C1=CC2=C(C=C1O)C(=CN2)CCN
Sinapate	COC1=CC(=CC(=C1O)OC)C=CC(=O)O
Sinapine	C[N+](C)(C)CCOC(=O)C=CC1=CC(=C(C(=C1)OC)O)OC
Siroheme	CC1(C(C2=NC1=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=C2)[N-]5)CC(=O)O)CCC(=O)O)CCC(=O)O)CC(=O)O)C(C3CCC(=O)O)(C)CC(=O)O)CCC(=O)O)CC(=O)O.[Fe+2]
Sirohydrochlorin	CC1(C(C2=NC1=CC3=NC(=CC4=C(C(=C(N4)C=C5C(=C(C(=C2)N5)CC(=O)O)CCC(=O)O)CCC(=O)O)CC(=O)O)C(C3CCC(=O)O)(C)CC(=O)O)CCC(=O)O)CC(=O)O
Sphinganine	CCCCCCCCCCCCCCCC(C(CO)N)O
Sphinganine 1-phosphate	CCCCCCCCCCCCCCCC(C(COP(=O)(O)O)N)O
Stachyose	C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OCC3C(C(C(C(O3)OC4(C(C(C(O4)CO)O)O)CO)O)O)O)O)O)O)O)O)O)O
Strigol	CC1=CC(OC1=O)OC=C2C3CC4=C(C3OC2=O)C(CCC4O)(C)C
Succinate	C(CC(=O)[O-])C(=O)[O-]
Succinate semialdehyde	C(CC(=O)O)C=O
Succinyl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CCC(=O)O)O
Sucrose	C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O
Sucrose 6'-phosphate	C(C1C(C(C(C(O1)OC2(C(C(C(O2)COP(=O)(O)O)O)O)CO)O)O)O)O
Sucrose 6-phosphate	C(C1C(C(C(O1)(CO)OC2C(C(C(C(O2)COP(=O)(O)O)O)O)O)O)O)O
Sugar	C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O
Sugar phosphate	
Tetradecanoic acid	CCCCCCCCCCCCCC(=O)O
Tetrahomomethionine	CSCCCCCCC(C(=O)O)N
Tetrahydrogeranylgeranyl diphosphate	CC(CCCC(C)CCC=C(C)C)CCCC(=CCOP(=O)(O)OP(=O)(O)O)C
Thiamin monophosphate	CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)(O)O
Thiamine	CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO
Thiocyanate	C(#N)[S-]
Thiocysteine	C(C(C(=O)O)N)SS
Thioredoxin	C[N+](C)(C)C(CC1=CNC(=S)N1)C(=O)O
Thioredoxin disulfide	
Thiosulfate	OS(=O)(=S)[O-]
Thromboxane A2	CCCCCC(C=CC1C(C2CC(O2)O1)CC=CCCCC(=O)O)O
Thymidine	CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)O
Thymine	CC1=CNC(=O)NC1=O
Torulene	CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC=C(C)C=CC=C(C)C)C)C
Trichloroethene	C(=C(Cl)Cl)Cl
UDP-3-O-(3-hydroxytetradecanoyl)-D-glucosamine	CCCCCCCCCCCC(CC(=O)OC1C(C(OC(C1O)CO)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)N)O
UDP-3-O-(3-hydroxytetradecanoyl)-N-acetylglucosamine	CCCCCCCCCCCC(CC(=O)OC1C(C(OC(C1O)CO)OP(=O)([O-])OP(=O)([O-])OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)NC(=O)C)O
UDP-4-dehydro-6-deoxy-D-glucose	CC1C(=O)C(C(C(O1)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)O)O
UDP-D-galacturonate	C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)C(=O)O)O)O)O)O)O
UDP-D-xylose	C1C(C(C(C(O1)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)O)O)O
UDP-L-arabinose	C1C(C(C(C(O1)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)O)O)O
UDP-N-acetyl-alpha-D-glucosamine	CC(=O)NC1C(C(C(OC1OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)CO)O)O
UDP-glucuronate	C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)C(=O)O)O)O)O)O)O
Urea	C(=O)(N)N
Uridine	C1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)O
Uridine 5-phosphate	
Uroporphyrinogen I	C1C2=C(C(=C(N2)CC3=C(C(=C(N3)CC4=C(C(=C(N4)CC5=C(C(=C1N5)CC(=O)O)CCC(=O)O)CC(=O)O)CCC(=O)O)CC(=O)O)CCC(=O)O)CC(=O)O)CCC(=O)O
Vitamin K1 epoxide	CC(C)CCCC(C)CCCC(C)CCCC(=CCC12C(=O)C3=CC=CC=C3C(=O)C1(O2)C)C
Xanthosine	C1=NC2=C(N1C3C(C(C(O3)CO)O)O)NC(=O)NC2=O
Xanthosine 5'-phosphate	C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)O)O)O)NC(=O)NC2=O
Zeatin	CC(=CCNC1=NC=NC2=C1NC=N2)CO
Zymosterol	CC(CCC=C(C)C)C1CCC2C1(CCC3=C2CCC4C3(CCC(C4)O)C)C
[Lipoyl-carrier protein]-L-lysine	
[Protein]-N6-(octanoyl)-L-lysine	
[Protein]-N6-[(R)-dihydrolipoyl]-L-lysine	
[Protein]-dehydroalanine	C=C(C(=O)N)NC=O
all-trans-Heptaprenyl diphosphate	CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCOP(=O)(O)OP(=O)(O)O)C)C)C)C)C)C)C
all-trans-Hexaprenyl diphosphate	CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCOP(=O)(O)OP(=O)(O)O)C)C)C)C)C)C
all-trans-Nonaprenyl diphosphate	CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCOP(=O)(O)OP(=O)(O)O)C)C)C)C)C)C)C)C)C
all-trans-Octaprenyl diphosphate	CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCOP(=O)(O)OP(=O)(O)O)C)C)C)C)C)C)C)C
all-trans-Pentaprenyl diphosphate	CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCOP(=O)(O)OP(=O)(O)O)C)C)C)C)C
alpha,alpha'-Trehalose 6-phosphate	C(C1C(C(C(C(O1)OC2C(C(C(C(O2)COP(=O)(O)O)O)O)O)O)O)O)O
alpha-Amino acid	
alpha-D-Galactose	C(C1C(C(C(C(O1)O)O)O)O)O
alpha-D-Galactose 1-phosphate	C(C1C(C(C(C(O1)OP(=O)(O)O)O)O)O)O
alpha-D-Galactosyl-(1->3)-1D-myo-inositol	C(C1C(C(C(C(O1)OC2C(C(C(C(C2O)O)O)O)O)O)O)O)O
alpha-D-Ribose 1,2-cyclic phosphate 5-phosphate	C(C1C(C2C(O1)OP(=O)(O2)O)O)OP(=O)(O)O
alpha-D-Ribose 1-phosphate	C(C1C(C(C(O1)OP(=O)(O)O)O)O)O
alpha-Tocopherol	CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C
alpha-Zeacarotene	CC1=CCCC(C1C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)CCC=C(C)CCC=C(C)C)C)C)(C)C
beta-Alanine	C(CN)C(=O)O
beta-D-Fructose	C(C1C(C(C(O1)(CO)O)O)O)O
beta-D-Fructose 2,6-bisphosphate	C(C1C(C(C(O1)(CO)OP(=O)(O)O)O)O)OP(=O)(O)O
beta-Ionone	CC1=C(C(CCC1)(C)C)C=CC(=O)C
beta-L-Galactose 1-phosphate	C(C1C(C(C(C(O1)OP(=O)(O)O)O)O)O)O
beta-Tocopherol	CC1=CC(=C(C2=C1OC(CC2)(C)CCCC(C)CCCC(C)CCCC(C)C)C)O
beta-Zeacarotene	CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)CCC=C(C)CCC=C(C)C)C)C
cis-2,3-Dihydrodiol 1,1,1-trichloro-2,2-bis(4'-chlorophenyl)ethane	C1=CC(=CC=C1C(C2=CC=C(C(C2O)O)Cl)C(Cl)(Cl)Cl)Cl
cis-Zeatin	CC(=CCNC1=NC=NC2=C1NC=N2)CO
dAMP	C1C(C(OC1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)O)O
dCDP	C1C(C(OC1N2C=CC(=NC2=O)N)COP(=O)(O)OP(=O)(O)O)O
dCMP	C1C(C(OC1N2C=CC(=NC2=O)N)COP(=O)(O)O)O
dCTP	C1C(C(OC1N2C=CC(=NC2=O)N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O
dGDP	C1C(C(OC1N2C=NC3=C2N=C(NC3=O)N)COP(=O)(O)OP(=O)(O)O)O
dGTP	C1C(C(OC1N2C=NC3=C2N=C(NC3=O)N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O
dIDP	C1C(C(OC1N2C=NC3=C2N=CNC3=O)COP(=O)(O)OP(=O)(O)O)O
dITP	C1C(C(OC1N2C=NC3=C2N=CNC3=O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O
dTDP	CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=O)(O)OP(=O)(O)O)O
dTDP-4-dehydro-beta-L-rhamnose	CC1C(=O)C(C(C(O1)OP(=O)(O)OP(=O)(O)OCC2C(CC(O2)N3C=C(C(=O)NC3=O)C)O)O)O
dTDP-4-oxo-6-deoxy-D-glucose	CC1C(=O)C(C(C(O1)OP(=O)(O)OP(=O)(O)OCC2C(CC(O2)N3C=C(C(=O)NC3=O)C)O)O)O
