(2R,3S)-3-Isopropylmalate	CC(C)C(C(C(=O)[O-])O)C(=O)[O-]
Protoporphyrin	CC1=C(C2=CC3=NC(=CC4=NC(=CC5=C(C(=C(N5)C=C1N2)C=C)C)C(=C4CCC(=O)O)C)C(=C3C)CCC(=O)O)C=C
Protoporphyrinogen_IX	
Pyruvate	CC(=O)C(=O)[O-]
Quinone	C1=CC(=O)C=CC1=O
Reduced ferredoxin	
Reduced plastocyanin	
Riboflavin	CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(CO)O)O)O
Ribulose 1,5-bisphosphate	C(C(C(C(=O)COP(=O)(O)O)O)O)OP(=O)(O)O
Ribulose 5-phosphate	C(C(C(C(=O)CO)O)O)OP(=O)(O)O
S-4-Amino-5-oxopentanoate	
S-Adenosylmethionine	C[S+](CCC(C(=O)[O-])N)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O
SQDG backbone	
Sanguinarine	C[N+]1=C2C(=C3C=CC4=C(C3=C1)OCO4)C=CC5=CC6=C(C=C52)OCO6
Sedoheptulose 1,7-bisphosphate	C(C(C(C(C(C(=O)COP(=O)(O)O)O)O)O)O)OP(=O)(O)O
Sedoheptulose 7-phosphate	C(C(C(C(C(C(=O)CO)O)O)O)O)OP(=O)(O)O
Selenite	[O-][Se](=O)[O-]
Serine	C(C(C(=O)O)N)O
Shikimate	C1C(C(C(C=C1C(=O)[O-])O)O)O
Shikimate 3-phosphate	C1C(C(C(C=C1C(=O)O)OP(=O)(O)O)O)O
Solavetivol	CC1CC(C=C(C12CCC(C2)C(=C)C)C)O
Solavetivone	CC1CC(=O)C=C(C12CCC(C2)C(=C)C)C
Starch, X+1 glucose units	
Starch, X+2 glucose units	
Starch, X+3 glucose units	
Starch, X+5 glucose units	
Sulfate	[O-]S(=O)(=O)[O-]
Sulfite	[O-]S(=O)[O-]
Sulfur donor	
Superoxide	[O-][O]
TG backbone	
THF biosynthesis ex-/import constraint	
THF-L-glutamate; Tetrahydropteroyldiglutamate;	
