cyano_met_id,kegg_id
pcrd_l[l],C03025
pdx5p_c[c],C00627
pep_c[c],C00074
phaccoa_c[c],C00582
phb_c[c],C06143
phdp_c[c],C05427
phe-L_c[c],C00079
pheme_c[c],C00032
phetrna_c[c],C03511
phllqne_c[c],C02059
phom_c[c],C01102
phpyr_c[c],C00166
phthr_c[c],C06055
phycynbn_c[c],C05786
phytoe_c[c],C05413
phytof_c[c],C05414
pi_c[c],C00009
pi_p[p],C00009
pi_e[e],C00009
pnto-R_c[c],C00864
ppbng_c[c],C00931
pphn_c[c],C00254
ppi_c[c],C00013
ppp9_c[c],C02191
pppg9_c[c],C01079
pppi_c[c],C00536
pq_y[y],C10385
pq_c[c],C10385
pq_u[u],C10385
pqh2_y[y],C16695
pqh2_u[u],C16695
pram_c[c],C03090
pran_c[c],C04302
prbamp_c[c],C02741
prbatp_c[c],C02739
pre3a_c[c],C05772
pre3b_c[c],C06406
pre4_c[c],C06407
pre5_c[c],C06416
pre6a_c[c],C06320
pre6b_c[c],C06319
pre8_c[c],C06408
prephytedp_c[c],C03427
prfp_c[c],C04896
prlp_c[c],C04916
pro-L_c[c],C00148
pro-L_p[p],C00148
pro-L_e[e],C00148
protrna_c[c],C02702
prpp_c[c],C00119
pser_c[c],C01005
ptrc_c[c],C00134
ptrc_p[p],C00134
ptrc_e[e],C00134
pydx5p_c[c],C00018
pyr_c[c],C00022
pyr_p[p],C00022
pyr_e[e],C00022
quln_c[c],C03722
r1p_c[c],C00620
r5p_c[c],C00117
rb15bp_x[x],C01182
rb15bp_c[c],C01182
rdmbzi_c[c],C05775
ribflv_c[c],C00255
rpdmbzi_c[c],C04778
ru5p-D_c[c],C00199
s17bp_c[c],C00447
s7p_c[c],C05382
sbzcoa_c[c],C03160
ser-L_c[c],C00065
ser-L_p[p],C00065
ser-L_e[e],C00065
sertrna_c[c],C02553
skm_c[c],C00493
skm5p_c[c],C03175
so3_c[c],C00094
so4_c[c],C00059
so4_p[p],C00059
so4_e[e],C00059
spm_c[c],C00750
spmd_c[c],C00315
spmd_p[p],C00315
spmd_e[e],C00315
sql_c[c],C00751
sucbz_c[c],C02730
succ_c[c],C00042
succ_p[p],C00042
succ_e[e],C00042
succoa_c[c],C00091
sucr_c[c],C00089
sucr_p[p],C00089
sucr_e[e],C00089
sucsal_c[c],C00232
tddec2eACP_c[c],C05758
tdec2eACP_c[c],C05754
thdp_c[c],C03972
thex2eACP_c[c],C05748
thf_c[c],C00101
thioc_c[c],C01755
thios_c[c],C00320
thmmp_c[c],C01081
thmpp_c[c],C00068
thptn_c[c],C00272
thr-L_c[c],C00188
thrp_c[c],C12147
thrtrna_c[c],C02992
tmrs2eACP_c[c],C05760
toct2eACP_c[c],C05751
toctd2eACP_c[c],C16221
tpalm2eACP_c[c],C05763
trdox_c[c],C00343
trdrd_c[c],C00342
tre6p_c[c],C00689
trnaala_c[c],C01635
trnaarg_c[c],C01636
trnaasn_c[c],C01637
trnaasp_c[c],C01638
trnacys_c[c],C01639
trnaglu_c[c],C01641
trnagly_c[c],C01642
trnahis_c[c],C01643
trnaile_c[c],C01644
trnaleu_c[c],C01645
trnalys_c[c],C01646
trnamet_c[c],C01647
trnaphe_c[c],C01648
trnapro_c[c],C01649
trnarib_c[c],C03446
trnaser_c[c],C01650
trnathr_c[c],C01651
trnatrp_c[c],C01652
trnatyr_c[c],C00787
trnauri_c[c],C01764
trnaval_c[c],C01653
trp-L_c[c],C00078
trptrna_c[c],C03512
tyr-L_c[c],C00082
tyrtrna_c[c],C02839
u23ga_c[c],C04652
u3hga_c[c],C06022
u3aga_c[c],C04738
uaagmda_c[c],C05898
uaccg_c[c],C04631
uacgam_c[c],C00043
uagmda_c[c],C05897
uama_c[c],C01212
uamag_c[c],C00692
uamr_c[c],C01050
udcpdp_c[c],C04574
udp_c[c],C00015
udpsq_c[c],C11521
udpacmana_c[c],C01170
udpg_c[c],C00029
udpgal_c[c],C00052
ugmd_c[c],C04877
ugmda_c[c],C04882
ump_c[c],C00105
uppg3_c[c],C01051
ura_c[c],C00106
urea_c[c],C00086
urea_p[p],C00086
urea_e[e],C00086
utp_c[c],C00075
val-L_c[c],C00183
valtrna_c[c],C02554
xmp_c[c],C00655
xu5p-D_c[c],C00231
zcarote_c[c],C05430
zeax_c[c],C06098
zn2_c[c],C00038
zn2_p[p],C00038
zn2_e[e],C00038
4abutn_c[c],C00555
id3acald_c[c],C00637
bamppald_c[c],C05665
bilirub_c[c],C00486
cyst-L_c[c],C02291
co_p[p],C00237
drib_c[c],C01801
f1p_c[c],C01094
gal_c[c],C00124
gal1p_c[c],C00446
3hmp_c[c],C01188
mmtsa_c[c],C06002
im4act_c[c],C05130
im4ac_c[c],C02835
lald-D_c[c],C00937
lald-L_c[c],C00424
12ppd-S_c[c],C02917
n4abutn_c[c],C05936
4aabutn_c[c],C02946
q8_c[c],C17569
ncam_c[c],C00153
didp_c[c],C01344
ditp_c[c],C01345
idp_c[c],C00104
itp_c[c],C00081
nmn_c[c],C00455
3ophb_c[c],C05809
2oph_c[c],C05810
lpam_c[c],C00248
adhlam_c[c],C01136
dhlam_c[c],C00579
tag6p-D_c[c],C01097
2hyoxplac_c[c],C05852
6pthp_c[c],C03684
pyam5p_c[c],C00647
pydxn_c[c],C00314
pydx_c[c],C00250
pydam_c[c],C00534
sl26da_c[c],C04421
sl2a6o_c[c],C04462
4mhetz_c[c],C04294
thymd_c[c],C00214
thm_c[c],C00378
uGgl_c[c],C05892
uGgla_c[c],C04702
