reaction_id,model,db,model_id,is_transp,in_pcm,ec,inChlVirid,uniprGpr,max_evid,evid_brenda,model_gpr,Solanum_lycopersicum,Nicotiana_glauca,Vigna_aconitifolia,Sorghum_bicolor,Triphysaria_versicolor,Vitis_vinifera,Castilleja_foliolosa,Pueraria_montana,Lotus_japonicus,Ipomoea_batatas,Centaurea_solstitialis,Triticum_aestivum,Nicotiana_tabacum,Chlorella_vulgaris,Apostasia_shenzhenica,Genlisea_aurea,Marchantia_polymorpha_subsp._ruderalis,Punica_granatum,Ricinus_communis,Citrus_unshiu,Saccharum_hybrid,Populus_alba_x_Populus_x,Prunus_yedoensis,Tetracentron_sinense,Cucurbita_maxima,Deinandra_increscens,Trifolium_pratense,Eriobotrya_japonica,Medicago_truncatula,Nicotiana_sylvestris,Zea_mays,Prunus_armeniaca,Musa_troglodytarum,Leucosceptrum_canum,Crocus_sativus,Prunus_salicina,Secale_cereale,Tanacetum_cinerariifolium,Handroanthus_impetiginosus,Populus_canescens,Ostreococcus_tauri,Lithospermum_erythrorhizon,Prasiola_cf_delicata,Striga_hermonthica,Physcomitrium_patens,Linum_tenue,Monoraphidium_neglectum,Carpinus_fangiana,Marchantia_polymorpha,Cucumis_sativus,Arabidopsis_thaliana,Mesostigma_viride,Rhododendron_williamsianum,Umbellularia_californica,Citrus_sinensis,Gossypium_hirsutum,Nicotiana_glutinosa,Glycine_max,Trapa_natans,Hevea_brasiliensis,Stylosanthes_scabra,Oryza_sativa,Brassica_campestris,Musa_balbisiana,Brassica_napus,Salvia_divinorum,Lolium_perenne,Solanum_commersonii,Cajanus_cajan,Prasiola_borealis,Humulus_lupulus,Panax_ginseng,Zingiber_officinale,Populus_tomentosa,Pisum_sativum,Cucumis_melo,Glycine_soja,Populus_trichocarpa,Micractinium_conductrix,Cannabis_sativa,Arabidopsis_arenosa,Chlorella_sorokiniana,Cucurbita_moschata,Cinnamomum_camphora,Tetratostichococcus_jenerensis,Populus_alba,pcm_gpr
R02003,"maize, poplar, soy, panAlgae, potato, Cohadii, rice, mintzOron",kegg,"{'maize': ['rxn19730_d0'], 'poplar': ['FPPSYN_RXN_p'], 'soy': ['FPPSYN-RXN_p'], 'panAlgae': ['NanoG1437'], 'potato': ['FPPS_h'], 'Cohadii': ['FPPSYN-RXN'], 'rice': ['GRTTs'], 'mintzOron': ['rxn299_p']}",False,True,['2.5.1.10'],[2],{'Arabidopsis thaliana (Mouse-ear cress)': 'At3g29430 or At2g18620 or At4g36810 or At3g14530 or At3g14550 or At3g14510 or At3g32040'},2,True,"('maize', 'AC194970.5_FGT001.CDS or GRMZM2G102550_T01.CDS')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At3g29430 or At2g18620 or At4g36810 or At3g14530 or At3g14550 or At3g14510 or At3g32040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At3g29430 or At2g18620 or At4g36810 or At3g14530 or At3g14550 or At3g14510 or At3g32040
R02061,"maize, Sobliquus, poplar, soy, potato, Cohadii, rice, mintzOron",kegg,"{'maize': ['rxn19689_d0'], 'Sobliquus': ['rxn01486_d0'], 'poplar': ['FARNESYLTRANSTRANSFERASE_RXN_p'], 'soy': ['FARNESYLTRANSTRANSFERASE-RXN_p'], 'potato': ['GGPS_h'], 'Cohadii': ['FARNESYLTRANSTRANSFERASE-RXN'], 'rice': ['FRTTs'], 'mintzOron': ['rxn287_p']}",False,True,['2.5.1.29'],[2],{'Arabidopsis thaliana (Mouse-ear cress)': 'At3g29430 or At2g18620 or At4g36810 or At3g14530 or At1g78510 or At3g14550 or At3g14510 or At3g32040'},2,True,"('maize', 'GRMZM2G004131_T01.CDS or AC194970.5_FGT001.CDS or GRMZM2G005909_T01.CDS or GRMZM2G102550_T01.CDS')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At3g29430 or At2g18620 or At4g36810 or At3g14530 or At1g78510 or At3g14550 or At3g14510 or At3g32040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At3g29430 or At2g18620 or At4g36810 or At3g14530 or At1g78510 or At3g14550 or At3g14510 or At3g32040
R02063,"maize, panAlgae, potato, rice, mintzOron",kegg,"{'maize': ['rxn20986_d0'], 'panAlgae': ['NanoG1424'], 'potato': ['GGR_h'], 'rice': ['GGDRc'], 'mintzOron': ['rxn690_p']}",False,True,['1.3.1.83'],[2],"{'Arabidopsis thaliana (Mouse-ear cress)': 'At1g74470', 'Oryza sativa subsp. japonica (Rice)': 'Os02g0744900 LOC_Os02g51080'}",2,True,"('maize', 'GRMZM2G105644_T01.CDS')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At1g74470,,,,,,,,,,,Os02g0744900,,,,,,,,,,,,,,,,,,,,,,,,,At1g74470
R02199,"maize, Sobliquus, poplar, cam, cam, soy, aracore, panAlgae, potato, rice, mintzOron",kegg,"{'maize': ['rxn27737_d0'], 'Sobliquus': ['rxn19240_d0'], 'poplar': ['BRANCHED_CHAINAMINOTRANSFERILEU_RXN_p'], 'cam': ['BRANCHED_CHAINAMINOTRANSFERILEU_RXN_p1', 'BRANCHED_CHAINAMINOTRANSFERILEU_RXN_p2'], 'soy': ['BRANCHED-CHAINAMINOTRANSFERILEU-RXN_p'], 'aracore': ['BAATA1_h'], 'panAlgae': ['NanoG0258'], 'potato': ['BAATA1_h'], 'rice': ['BCTA3s'], 'mintzOron': ['rxn202_p']}",False,True,['2.6.1.42'],[2],{'Arabidopsis thaliana (Mouse-ear cress)': 'At5g65780 or At3g49680 or At1g10070'},2,True,"('maize', 'GRMZM2G047347_T08.CDS or GRMZM2G153536_T02.CDS or GRMZM5G860824_T01.CDS or GRMZM2G071208_T01.CDS or GRMZM2G087103_T04.CDS or GRMZM2G047347_T06.CDS or GRMZM2G047347_T02.CDS or GRMZM2G153536_T01.CDS or GRMZM2G055899_T05.CDS or GRMZM2G047347_T05.CDS or GRMZM2G087103_T03.CDS or GRMZM2G153536_T03.CDS or GRMZM2G047347_T04.CDS or GRMZM2G069596_T01.CDS or GRMZM2G055899_T04.CDS or GRMZM2G153536_T04.CDS or GRMZM2G055899_T02.CDS or GRMZM2G055899_T01.CDS or GRMZM2G087103_T02.CDS or GRMZM2G047347_T03.CDS or GRMZM2G055899_T06.CDS or GRMZM2G069596_T02.CDS or GRMZM2G055899_T07.CDS or GRMZM2G071208_T03.CDS or GRMZM2G047347_T01.CDS or GRMZM2G047347_T07.CDS or GRMZM2G071208_T02.CDS or GRMZM2G055899_T03.CDS')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At5g65780 or At3g49680 or At1g10070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At5g65780 or At3g49680 or At1g10070
R02272,"maize, poplar, soy, panAlgae, potato, Cohadii, rice, mintzOron",kegg,"{'maize': ['rxn27920_d0'], 'poplar': ['GSAAMINOTRANS_RXN_p'], 'soy': ['GSAAMINOTRANS-RXN_p'], 'panAlgae': ['NanoG1285'], 'potato': ['G1SAT_h'], 'Cohadii': ['GSAAMINOTRANS-RXN'], 'rice': ['G1SATs'], 'mintzOron': ['rxn366_p']}",False,True,['5.4.3.8'],[2],"{'Arabidopsis thaliana (Mouse-ear cress)': 'At3g48730 or At5g63570', 'Oryza sativa subsp. japonica (Rice)': 'Os08g0532200 LOC_Os08g41990'}",2,True,"('maize', 'GRMZM2G116258_T01.CDS')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At3g48730 or At5g63570,,,,,,,,,,,Os08g0532200,,,,,,,,,,,,,,,,,,,,,,,,,At3g48730 or At5g63570
R02282,"maize, Sobliquus, poplar, cam, cam, soy, aracore, potato, Cohadii, rice",kegg,"{'maize': ['rxn38121_d0'], 'Sobliquus': ['rxn01636_d0'], 'poplar': ['GLUTAMATE_N_ACETYLTRANSFERASE_RXN_p'], 'cam': ['GLUTAMATE_N_ACETYLTRANSFERASE_RXN_p1', 'GLUTAMATE_N_ACETYLTRANSFERASE_RXN_p2'], 'soy': ['GLUTAMATE-N-ACETYLTRANSFERASE-RXN_p'], 'aracore': ['AOrnAGluAcT_h'], 'potato': ['AOrnAGluAcT_h'], 'Cohadii': ['GLUTAMATE-N-ACETYLTRANSFERASE-RXN'], 'rice': ['GACTs']}",False,True,['2.3.1.35'],[2],"{'Arabidopsis thaliana (Mouse-ear cress)': 'At2g37500', 'Oryza sativa subsp. japonica (Rice)': 'Os03g0279400 LOC_Os03g17120', 'Sorghum bicolor (Sorghum) (Sorghum vulgare)': 'Sb01g039230'}",2,False,"('maize', 'GRMZM2G044237_T02.CDS or GRMZM2G044237_T03.CDS or GRMZM2G044237_T01.CDS or GRMZM2G044237_T04.CDS')",,,,Sb01g039230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At2g37500,,,,,,,,,,,Os03g0279400,,,,,,,,,,,,,,,,,,,,,,,,,At2g37500
R02283,"maize, Sobliquus, poplar, cam, cam, soy, aracore, panAlgae, potato, rice, mintzOron",kegg,"{'maize': ['rxn27671_d0'], 'Sobliquus': ['rxn01637_d0'], 'poplar': ['ACETYLORNTRANSAM_RXN_p'], 'cam': ['ACETYLORNTRANSAM_RXN_p2', 'ACETYLORNTRANSAM_RXN_p1'], 'soy': ['ACETYLORNTRANSAM-RXN_p'], 'aracore': ['AOrnTA_h'], 'panAlgae': ['NanoG0034'], 'potato': ['AOrnTA_h'], 'rice': ['AOTAs'], 'mintzOron': ['rxn140_p']}",False,True,['2.6.1.11'],[2],{'Arabidopsis thaliana (Mouse-ear cress)': 'At1g80600'},2,True,"('maize', 'GRMZM2G119583_T02.CDS or GRMZM2G119583_T01.CDS')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At1g80600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At1g80600
R02291,"maize, Sobliquus, poplar, cam, cam, soy, aracore, panAlgae, potato, rice, mintzOron",kegg,"{'maize': ['rxn27723_d0'], 'Sobliquus': ['rxn01643_d0'], 'poplar': ['ASPARTATE_SEMIALDEHYDE_DEHYDROGENASE_RXN_p'], 'cam': ['ASPARTATE_SEMIALDEHYDE_DEHYDROGENASE_RXN_p1', 'ASPARTATE_SEMIALDEHYDE_DEHYDROGENASE_RXN_p2'], 'soy': ['ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN_p'], 'aracore': ['Asp-SeADH_h'], 'panAlgae': ['NanoG0129'], 'potato': ['Asp-SeADH_h'], 'rice': ['ASADHs'], 'mintzOron': ['rxn191_p']}",False,True,['1.2.1.11'],[0],{},0,False,"('maize', 'GRMZM2G076885_T01.CDS or GRMZM2G038848_T01.CDS or GRMZM2G038848_T02.CDS')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R02340,"maize, Sobliquus, poplar, cam, cam, soy, aracore, potato, rice, mintzOron",kegg,"{'maize': ['rxn28615_d0'], 'Sobliquus': ['rxn28615_d0'], 'poplar': ['RXN0_2381_p'], 'cam': ['RXN0_2381_p1', 'RXN0_2381_p2'], 'soy': ['RXN0-2381_p'], 'aracore': ['IndGPL_h'], 'potato': ['IndGPL_h'], 'rice': ['G3PLs'], 'mintzOron': ['rxn1418_p']}",False,True,"['4.1.2.8', '4.2.1.20']","[2, 2]",{'Arabidopsis thaliana (Mouse-ear cress)': 'At5g54810 or At3g54640 or At4g27070'},2,True,"('maize', 'GRMZM2G015436_T04.CDS or GRMZM2G046191_T04.CDS or GRMZM2G046163_T01.CDS or GRMZM2G085381_T03.CDS or GRMZM2G046191_T03.CDS or GRMZM5G841619_T01.CDS or GRMZM2G085381_T02.CDS or GRMZM2G015892_T01.CDS or GRMZM2G046191_T05.CDS or GRMZM2G015436_T03.CDS or GRMZM2G046191_T01.CDS or GRMZM2G085381_T01.CDS or GRMZM2G046191_T02.CDS or GRMZM2G015436_T02.CDS or GRMZM2G015436_T01.CDS')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At5g54810 or At3g54640 or At4g27070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At5g54810 or At3g54640 or At4g27070
R02412,"maize, Sobliquus, poplar, cam, cam, soy, aracore, panAlgae, potato, rice, mintzOron",kegg,"{'maize': ['rxn32794_d0'], 'Sobliquus': ['rxn01739_d0'], 'poplar': ['SHIKIMATE_KINASE_RXN_p'], 'cam': ['SHIKIMATE_KINASE_RXN_p1', 'SHIKIMATE_KINASE_RXN_p2'], 'soy': ['SHIKIMATE-KINASE-RXN_p'], 'aracore': ['SAK_h'], 'panAlgae': ['NanoG0203'], 'potato': ['SAK_h'], 'rice': ['SKKs'], 'mintzOron': ['rxn1536_p']}",False,True,['2.7.1.71'],[2],"{'Arabidopsis thaliana (Mouse-ear cress)': 'At4g39540 or At2g21940', 'Oryza sativa subsp. japonica (Rice)': 'Os02g0749300 LOC_Os02g51410 or Os06g0225800 LOC_Os06g12150 or Os04g0640600 LOC_Os04g54800'}",2,True,"('maize', 'GRMZM2G089147_T01.CDS or GRMZM2G003984_T01.CDS or GRMZM2G113056_T02.CDS or GRMZM2G119249_T06.CDS or GRMZM2G119249_T01.CDS or GRMZM2G113056_T01.CDS or GRMZM2G089147_T02.CDS or GRMZM2G119249_T02.CDS or GRMZM2G119249_T05.CDS or GRMZM2G119249_T03.CDS or GRMZM2G387383_T01.CDS or GRMZM2G119249_T04.CDS')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At4g39540 or At2g21940,,,,,,,,,,,Os02g0749300 or Os06g0225800 or Os04g0640600,,,,,,,,,,,,,,,,,,,,,,,,,At4g39540 or At2g21940
R02413,"maize, Sobliquus, poplar, cam, cam, soy, aracore, panAlgae, potato, rice, mintzOron",kegg,"{'maize': ['rxn27110_d0'], 'Sobliquus': ['rxn01740_d0'], 'poplar': ['SHIKIMATE_5_DEHYDROGENASE_RXN_p'], 'cam': ['SHIKIMATE_5_DEHYDROGENASE_RXN_p2', 'SHIKIMATE_5_DEHYDROGENASE_RXN_p1'], 'soy': ['SHIKIMATE-5-DEHYDROGENASE-RXN_p'], 'aracore': ['SADH_h'], 'panAlgae': ['NanoG0204'], 'potato': ['SADH_h'], 'rice': ['SKDHs'], 'mintzOron': ['rxn1535_p']}",False,True,"['1.1.1.25', '1.1.1.282']","[2, 0]",{'Arabidopsis thaliana (Mouse-ear cress)': 'At3g06350'},2,True,"('maize', 'GRMZM2G177412_T03.CDS or GRMZM2G177412_T04.CDS or GRMZM2G014376_T01.CDS or GRMZM2G107402_T01.CDS or GRMZM2G177412_T05.CDS or GRMZM2G123652_T02.CDS or GRMZM2G177412_T02.CDS or GRMZM5G804881_T01.CDS or GRMZM2G177412_T01.CDS or GRMZM2G123652_T01.CDS or GRMZM2G314652_T01.CDS or GRMZM2G014376_T02.CDS or AC213521.3_FGT005.CDS or GRMZM2G014376_T03.CDS or GRMZM2G314652_T02.CDS')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At3g06350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At3g06350
R02649,"maize, Sobliquus, poplar, cam, cam, soy, aracore, potato, mintzOron",kegg,"{'maize': ['rxn27669_d0'], 'Sobliquus': ['rxn01917_d0'], 'poplar': ['ACETYLGLUTKIN_RXN_p'], 'cam': ['ACETYLGLUTKIN_RXN_p1', 'ACETYLGLUTKIN_RXN_p2'], 'soy': ['ACETYLGLUTKIN-RXN_p'], 'aracore': ['AGluK'], 'potato': ['AGluK'], 'mintzOron': ['rxn138_p']}",False,True,['2.7.2.8'],[2],{'Arabidopsis thaliana (Mouse-ear cress)': 'At3g57560'},2,True,"('maize', 'GRMZM2G323719_T01.CDS or GRMZM2G038848_T01.CDS or GRMZM2G132777_T01.CDS or GRMZM2G038848_T02.CDS')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At3g57560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At3g57560
R02722,"maize, poplar, panAlgae, rice, mintzOron",kegg,"{'maize': ['rxn29936_d0'], 'poplar': ['TRYPSYN_RXN_p'], 'panAlgae': ['NanoG0135'], 'rice': ['SERHs'], 'mintzOron': ['rxn1583_p']}",False,True,['4.2.1.20'],[2],{'Arabidopsis thaliana (Mouse-ear cress)': 'At5g54810 or At3g54640 or At4g27070'},2,True,"('maize', 'GRMZM2G005024_T03.CDS or GRMZM2G085381_T03.CDS or GRMZM5G841619_T01.CDS or GRMZM2G085381_T02.CDS or GRMZM2G015892_T01.CDS or GRMZM2G046191_T05.CDS or GRMZM2G054465_T01.CDS or GRMZM2G046191_T04.CDS or GRMZM2G046163_T01.CDS or GRMZM2G015436_T04.CDS or GRMZM2G169593_T02.CDS or GRMZM2G005024_T02.CDS or GRMZM2G046191_T03.CDS or GRMZM2G169593_T03.CDS or GRMZM2G015436_T03.CDS or GRMZM2G005024_T01.CDS or GRMZM2G046191_T01.CDS or GRMZM2G169593_T01.CDS or GRMZM2G085381_T01.CDS or GRMZM2G015436_T02.CDS or GRMZM2G015436_T01.CDS or GRMZM2G046191_T02.CDS')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At5g54810 or At3g54640 or At4g27070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At5g54810 or At3g54640 or At4g27070
R02735,"maize, Sobliquus, poplar, cam, cam, soy, aracore, potato, Cohadii, rice, mintzOron",kegg,"{'maize': ['rxn27789_d0'], 'Sobliquus': ['rxn01974_d0'], 'poplar': ['DIAMINOPIMEPIM_RXN_p'], 'cam': ['DIAMINOPIMEPIM_RXN_p2', 'DIAMINOPIMEPIM_RXN_p1'], 'soy': ['DIAMINOPIMEPIM-RXN_p'], 'aracore': ['DAPE_h'], 'potato': ['DAPE_h'], 'Cohadii': ['DIAMINOPIMEPIM-RXN'], 'rice': ['DAPEPs'], 'mintzOron': ['rxn250_p']}",False,True,['5.1.1.7'],[2],"{'Arabidopsis thaliana (Mouse-ear cress)': 'At3g53580', 'Oryza sativa subsp. japonica (Rice)': 'Os12g0567200 LOC_Os12g37960'}",2,False,"('maize', 'GRMZM2G130332_T01.CDS or AC182617.3_FGT001.CDS or GRMZM2G130332_T03.CDS or GRMZM2G130332_T04.CDS or GRMZM2G130332_T02.CDS')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At3g53580,,,,,,,,,,,Os12g0567200,,,,,,,,,,,,,,,,,,,,,,,,,At3g53580
R03012,"maize, Sobliquus, poplar, cam, cam, soy, aracore, potato, rice, mintzOron",kegg,"{'maize': ['rxn19896_d0'], 'Sobliquus': ['rxn02159_d0'], 'poplar': ['HISTOLDEHYD_RXN_p'], 'cam': ['HISTOLDEHYD_RXN_p2', 'HISTOLDEHYD_RXN_p1'], 'soy': ['HISTOLDEHYD-RXN_p'], 'aracore': ['HisolPDH_h'], 'potato': ['HisolPDH_h'], 'rice': ['HDHs'], 'mintzOron': ['rxn385_p']}",False,True,['1.1.1.23'],[2],"{'Arabidopsis thaliana (Mouse-ear cress)': 'At5g63890', 'Oryza sativa subsp. japonica (Rice)': 'Os01g0232700 LOC_Os01g13190'}",2,True,"('maize', 'GRMZM2G058584_T01.CDS or GRMZM2G058584_T02.CDS')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At5g63890,,,,,,,,,,,Os01g0232700,,,,,,,,,,,,,,,,,,,,,,,,,At5g63890
R03013,"maize, poplar, cam, cam, soy, aracore, potato, Cohadii, rice, mintzOron",kegg,"{'maize': ['rxn27927_d0'], 'poplar': ['HISTIDPHOS_RXN_p'], 'cam': ['HISTIDPHOS_RXN_p2', 'HISTIDPHOS_RXN_p1'], 'soy': ['HISTIDPHOS-RXN_p'], 'aracore': ['HisolPP_h'], 'potato': ['HisolPP_h'], 'Cohadii': ['HISTIDPHOS-RXN'], 'rice': ['HPs'], 'mintzOron': ['rxn384_p']}",False,True,['3.1.3.15'],[2],{'Arabidopsis thaliana (Mouse-ear cress)': 'At4g39120'},2,True,"('maize', 'GRMZM2G029731_T01.CDS or GRMZM2G029731_T02.CDS')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At4g39120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At4g39120
R03050,"maize, maize, aracore, potato, mintzOron",kegg,"{'maize': ['rxn32060_d0', 'rxn33391_d0'], 'aracore': ['ALS3_h'], 'potato': ['ALS3_h'], 'mintzOron': ['rxn817_p']}",False,True,['2.2.1.6'],[2],"{'Arabidopsis thaliana (Mouse-ear cress)': 'At3g48560', 'Oryza sativa subsp. japonica (Rice)': 'Os02g0510200 LOC_Os02g30630 or Os04g0389800 LOC_Os04g32010'}",2,True,"('maize', 'GRMZM2G077215_T01.CDS or GRMZM2G143008_T01.CDS or GRMZM2G407044_T01.CDS or GRMZM2G143357_T01.CDS or GRMZM2G077215_T01.CDS or GRMZM2G143008_T01.CDS or GRMZM2G407044_T01.CDS or GRMZM2G143357_T01.CDS')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At3g48560,,,,,,,,,,,Os02g0510200 or Os04g0389800,,,,,,,,,,,,,,,,,,,,,,,,,At3g48560
R04672,"maize, maize, aracore, potato, mintzOron",kegg,"{'maize': ['rxn32060_d0', 'rxn33391_d0'], 'aracore': ['ALS3_h'], 'potato': ['ALS3_h'], 'mintzOron': ['rxn817_p']}",False,True,['2.2.1.6'],[2],"{'Arabidopsis thaliana (Mouse-ear cress)': 'At3g48560', 'Oryza sativa subsp. japonica (Rice)': 'Os02g0510200 LOC_Os02g30630 or Os04g0389800 LOC_Os04g32010'}",2,True,"('maize', 'GRMZM2G077215_T01.CDS or GRMZM2G143008_T01.CDS or GRMZM2G407044_T01.CDS or GRMZM2G143357_T01.CDS or GRMZM2G077215_T01.CDS or GRMZM2G143008_T01.CDS or GRMZM2G407044_T01.CDS or GRMZM2G143357_T01.CDS')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At3g48560,,,,,,,,,,,Os02g0510200 or Os04g0389800,,,,,,,,,,,,,,,,,,,,,,,,,At3g48560
R03051,"maize, maize, Sobliquus, poplar, cam, cam, soy, panAlgae, rice, mintzOron, mintzOron",kegg,"{'maize': ['rxn27663_d0', 'rxn32271_d0'], 'Sobliquus': ['rxn19027_d0'], 'poplar': ['ACETOLACTREDUCTOISOM_RXN_p'], 'cam': ['ACETOLACTREDUCTOISOM_RXN_p2', 'ACETOLACTREDUCTOISOM_RXN_p1'], 'soy': ['ACETOLACTREDUCTOISOM-RXN_p'], 'panAlgae': ['NanoG0262'], 'rice': ['KARAs'], 'mintzOron': ['rxn746_p', 'rxn132_p']}",False,True,['1.1.1.86'],[2],"{'Arabidopsis thaliana (Mouse-ear cress)': 'At3g58610', 'Oryza sativa subsp. japonica (Rice)': 'Os05g0573700 LOC_Os05g49800'}",2,True,"('maize', 'GRMZM2G004382_T02.CDS or GRMZM2G161868_T01.CDS or GRMZM2G004382_T01.CDS or GRMZM2G004382_T02.CDS or GRMZM2G004382_T01.CDS')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At3g58610,,,,,,,,,,,Os05g0573700,,,,,,,,,,,,,,,,,,,,,,,,,At3g58610
R04439,"maize, maize, Sobliquus, poplar, cam, cam, soy, panAlgae, rice, mintzOron, mintzOron",kegg,"{'maize': ['rxn27663_d0', 'rxn32271_d0'], 'Sobliquus': ['rxn19027_d0'], 'poplar': ['ACETOLACTREDUCTOISOM_RXN_p'], 'cam': ['ACETOLACTREDUCTOISOM_RXN_p2', 'ACETOLACTREDUCTOISOM_RXN_p1'], 'soy': ['ACETOLACTREDUCTOISOM-RXN_p'], 'panAlgae': ['NanoG0262'], 'rice': ['KARAs'], 'mintzOron': ['rxn746_p', 'rxn132_p']}",False,True,"['1.1.1.86', '1.1.1.383']","[2, 0]","{'Arabidopsis thaliana (Mouse-ear cress)': 'At3g58610', 'Oryza sativa subsp. japonica (Rice)': 'Os05g0573700 LOC_Os05g49800'}",2,True,"('maize', 'GRMZM2G004382_T02.CDS or GRMZM2G161868_T01.CDS or GRMZM2G004382_T01.CDS or GRMZM2G004382_T02.CDS or GRMZM2G004382_T01.CDS')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At3g58610,,,,,,,,,,,Os05g0573700,,,,,,,,,,,,,,,,,,,,,,,,,At3g58610
R03083,"maize, Sobliquus, poplar, cam, cam, soy, aracore, panAlgae, potato, Cohadii, rice, mintzOron",kegg,"{'maize': ['rxn32559_d0'], 'Sobliquus': ['rxn02212_d0'], 'poplar': ['3_DEHYDROQUINATE_SYNTHASE_RXN_p'], 'cam': ['3_DEHYDROQUINATE_SYNTHASE_RXN_p2', '3_DEHYDROQUINATE_SYNTHASE_RXN_p1'], 'soy': ['3-DEHYDROQUINATE-SYNTHASE-RXN_p'], 'aracore': ['DHQS_h'], 'panAlgae': ['NanoG0202'], 'potato': ['DHQS_h'], 'Cohadii': ['3-DEHYDROQUINATE-SYNTHASE-RXN'], 'rice': ['DHQSs'], 'mintzOron': ['rxn89_p']}",False,True,['4.2.3.4'],[2],"{'Arabidopsis thaliana (Mouse-ear cress)': 'At5g66120', 'Solanum lycopersicum (Tomato) (Lycopersicon esculentum)': 'Solyc02g083590'}",2,True,"('maize', 'GRMZM2G051129_T01.CDS or GRMZM2G573867_T02.CDS or GRMZM2G051129_T03.CDS or GRMZM2G573867_T01.CDS or GRMZM2G051129_T02.CDS or GRMZM2G051129_T04.CDS')",Solyc02g083590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At5g66120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At5g66120
R03084,"maize, Sobliquus, poplar, cam, cam, soy, aracore, panAlgae, potato, rice, mintzOron",kegg,"{'maize': ['rxn17751_d0'], 'Sobliquus': ['rxn02213_d0'], 'poplar': ['3_DEHYDROQUINATE_DEHYDRATASE_RXN_p'], 'cam': ['3_DEHYDROQUINATE_DEHYDRATASE_RXN_p1', '3_DEHYDROQUINATE_DEHYDRATASE_RXN_p2'], 'soy': ['3-DEHYDROQUINATE-DEHYDRATASE-RXN_p'], 'aracore': ['DHQDH_h'], 'panAlgae': ['NanoG0210'], 'potato': ['DHQDH_h'], 'rice': ['DQDHs'], 'mintzOron': ['rxn88_p']}",False,True,['4.2.1.10'],[2],{'Arabidopsis thaliana (Mouse-ear cress)': 'At3g06350'},2,True,"('maize', 'GRMZM2G314652_T01.CDS or GRMZM2G014376_T02.CDS or GRMZM2G014376_T03.CDS or GRMZM2G014376_T01.CDS or GRMZM2G314652_T02.CDS or GRMZM5G804881_T01.CDS')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At3g06350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At3g06350
